ShowdownTileset,320,416,32,32,32,32,0,1,1,4294967295
ShowdownTileset,288,416,160,32,32,32,0,1,1,4294967295
ShowdownTileset,320,384,0,0,32,32,0,1,1,4294967295
ShowdownTileset,352,384,192,32,32,32,0,1,1,4294967295
ShowdownTileset,512,352,128,0,32,32,0,1,1,4294967295
ShowdownTileset,480,352,64,0,32,32,0,1,1,4294967295
ShowdownTileset,480,384,64,64,32,32,0,1,1,4294967295
ShowdownTileset,512,384,128,64,32,32,0,1,1,4294967295
ShowdownTileset,576,400,64,0,32,32,0,1,1,4294967295
ShowdownTileset,576,416,64,64,32,32,0,1,1,4294967295
ShowdownTileset,416,448,160,64,32,32,0,1,1,4294967295
ShowdownTileset,480,224,0,0,32,32,0,1,1,4294967295
ShowdownTileset,480,288,0,32,32,32,0,1,1,4294967295
ShowdownTileset,512,288,192,32,32,32,0,1,1,4294967295
ShowdownTileset,512,224,192,32,32,32,0,1,1,4294967295
ShowdownTileset,480,256,32,64,32,32,0,1,1,4294967295
ShowdownTileset,320,288,32,32,32,32,0,1,1,4294967295
ShowdownTileset,320,256,0,0,32,32,0,1,1,4294967295
ShowdownTileset,288,288,160,32,32,32,0,1,1,4294967295
ShowdownTileset,352,256,192,32,32,32,0,1,1,4294967295
ShowdownTileset,224,224,160,64,32,32,0,1,1,4294967295
ShowdownTileset,224,352,192,64,32,32,0,1,1,4294967295
ShowdownTileset,224,320,32,64,32,32,0,1,1,4294967295
ShowdownTileset,224,288,32,64,32,32,0,1,1,4294967295
ShowdownTileset,224,256,32,64,32,32,0,1,1,4294967295
ShowdownTileset,256,128,160,64,32,32,0,1,1,4294967295
ShowdownTileset,256,160,192,64,32,32,0,1,1,4294967295
ShowdownTileset,320,160,160,0,32,32,0,1,1,4294967295
ShowdownTileset,384,96,160,64,32,32,0,1,1,4294967295
ShowdownTileset,384,128,32,64,32,32,0,1,1,4294967295
ShowdownTileset,384,160,0,32,32,32,0,1,1,4294967295
ShowdownTileset,512,160,32,32,32,32,0,1,1,4294967295
ShowdownTileset,512,128,0,0,32,32,0,1,1,4294967295
ShowdownTileset,544,128,32,32,32,32,0,1,1,4294967295
ShowdownTileset,544,96,160,64,32,32,0,1,1,4294967295
ShowdownTileset,416,160,0,64,32,32,0,1,1,4294967295
ShowdownTileset,480,160,0,64,32,32,0,1,1,4294967295
