spikeUp,224,96,00054BAF,0,1,1,4294967295,0,0
spikeUp,256,96,0011739B,0,1,1,4294967295,0,0
spikeUp,288,96,00219C9D,0,1,1,4294967295,0,0
spikeUp,352,128,001AFBDC,0,1,1,4294967295,0,0
spikeUp,384,160,003A468F,0,1,1,4294967295,0,0
spikeUp,480,64,0027ADE5,0,1,1,4294967295,0,0
spikeUp,480,160,00084492,0,1,1,4294967295,0,0
spikeUp,672,160,00265D54,0,1,1,4294967295,0,0
spikeUp,704,128,0016F569,0,1,1,4294967295,0,0
spikeUp,576,256,003442ED,0,1,1,4294967295,0,0
spikeUp,608,256,0019E232,0,1,1,4294967295,0,0
spikeUp,544,384,00167066,0,1,1,4294967295,0,0
spikeUp,192,352,0023AA59,0,1,1,4294967295,0,0
spikeUp,224,352,00278FA2,0,1,1,4294967295,0,0
spikeUp,128,544,0029671A,0,1,1,4294967295,0,0
spikeUp,672,416,00200F4A,0,1,1,4294967295,0,0
spikeUp,288,512,003FF999,0,1,1,4294967295,0,0
spikeUp,352,512,000B44C3,0,1,1,4294967295,0,0
spikeDown,320,64,002E4368,0,1,1,4294967295,0,0
spikeLeft,544,64,002CAD32,0,1,1,4294967295,0,0
spikeLeft,544,96,0010167A,0,1,1,4294967295,0,0
spikeUp,512,256,002F07A0,0,1,1,4294967295,0,0
spikeRight,704,352,001E665D,0,1,1,4294967295,0,0
spikeRight,512,384,000961BF,0,1,1,4294967295,0,0
spikeRight,416,352,00042C19,0,1,1,4294967295,0,0
spikeRight,96,256,00123ADA,0,1,1,4294967295,0,0
spikeRight,160,448,00014E9F,0,1,1,4294967295,0,0
spikeLeft,448,512,0032B346,0,1,1,4294967295,0,0
spikeLeft,128,256,00298EA6,0,1,1,4294967295,0,0
spikeDown,64,384,000E68EB,0,1,1,4294967295,0,0
spikeDown,128,480,00372488,0,1,1,4294967295,0,0
spikeLeft,224,448,0020A7AA,0,1,1,4294967295,0,0
spikeLeft,224,480,000C6C99,0,1,1,4294967295,0,0
spikeDown,320,416,000AF08A,0,1,1,4294967295,0,0
spikeDown,544,320,003CF4F7,0,1,1,4294967295,0,0
spikeLeft,416,96,0010CA25,0,1,1,4294967295,0,0
spikeDown,704,96,003DA475,0,1,1,4294967295,0,0
spikeUp,704,256,001E67A8,0,1,1,4294967295,0,0
spikeUp,608,160,000DA5F7,0,1,1,4294967295,0,0
spikeDown,576,224,000E2DB6,0,1,1,4294967295,0,0
spikeDown,608,224,0019BD2F,0,1,1,4294967295,0,0
spikeLeft,448,256,000945B7,0,1,1,4294967295,0,0
spikeUp,160,544,000612A2,0,1,1,4294967295,0,0
spikeUp,288,256,0012B949,0,1,1,4294967295,0,0
spikeUp,256,224,000D3052,0,1,1,4294967295,0,0
spikeDown,512,448,000BA10F,0,1,1,4294967295,0,0
spikeDown,576,448,00081FC0,0,1,1,4294967295,0,0
spikeDown,640,128,002782C6,0,1,1,4294967295,0,0
spikeDown,544,448,000FCB9E,0,1,1,4294967295,0,0
spikeUp,32,480,0021B3EC,0,1,1,4294967295,0,0
